id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10002325-B2,Knowledge representation systems and methods incorporating inference rules ,Primal Fusion Inc.,"Peter Joseph Sweeney, Ihab Francis Ilyas, Wu Zhou, Wayne Oldford",2005-03-30,2012-01-06,2018-06-19,2018-06-19,https://patents.google.com/patent/US10002325B2/en,https://patentimages.storage.googleapis.com/e3/fc/f7/165d13fdcec266/US10002325-20180619-D00000.png
US-2020265955-A1,Identifying Valid Medical Data for Facilitating Accurate Medical Diagnosis ,Babylon Partners Limited,"Domenico CORAPI, Myles BELL, Ansis STRODAHS, Benjamin HOMER, Maurizio MORRIELLO, Mohammad Khodadadi",2019-02-14,2019-08-20,2020-08-20,,https://patents.google.com/patent/US20200265955A1/en,https://patentimages.storage.googleapis.com/de/24/40/5eedd0ae448936/US20200265955A1-20200820-D00000.png
US-11348022-B2,Computer implemented determination method and system ,Babylon Partners Limited,"Laura Helen DOUGLAS, Pavel MYSHKOV, Robert WALECKI, Iliyan Radev ZAROV, Konstantinos GOURGOULIAS, Christopher Lucas, Christopher Robert HART, Adam Philip BAKER, Maneesh Sahani, Iurii PEROV, Saurabh JOHRI",2017-10-31,2019-02-15,2022-05-31,2022-05-31,https://patents.google.com/patent/US11348022B2/en,https://patentimages.storage.googleapis.com/38/39/d1/4b00c9b26909c0/US11348022-20220531-D00000.png
US-9177248-B2,Knowledge representation systems and methods incorporating customization ,Primal Fusion Inc.,"Peter Joseph Sweeney, Ihab Francis Ilyas",2005-03-30,2012-09-10,2015-11-03,2015-11-03,https://patents.google.com/patent/US9177248B2/en,https://patentimages.storage.googleapis.com/0f/67/c2/b9c65caadbc115/US09177248-20151103-D00000.png
US-11531852-B2,Machine learning systems and methods for training with noisy labels ,D-Wave Systems Inc.,Arash Vahdat,2016-11-28,2017-11-27,2022-12-20,2022-12-20,https://patents.google.com/patent/US11531852B2/en,https://patentimages.storage.googleapis.com/50/31/22/f136906caa696d/US11531852-20221220-D00000.png
US-9104961-B2,Modeling a data generating process using dyadic Bayesian models ,"Microsoft Technology Licensing, Llc","Andrew D. Gordon, Thore Graepel, Aditya Nori, Sriram Rajamani, Johannes Borgstroem",2012-10-08,2012-10-08,2015-08-11,2015-08-11,https://patents.google.com/patent/US9104961B2/en,https://patentimages.storage.googleapis.com/d9/81/4a/2d4a901f934a8b/US09104961-20150811-D00000.png
US-11575693-B1,Composite relationship graph for network security ,Splunk Inc.,"Sudhakar Muddu, Christos Tryfonas, Ravi Prasad Bulusu, Marios Iliofotou",2015-08-31,2020-12-17,2023-02-07,2023-02-07,https://patents.google.com/patent/US11575693B1/en,https://patentimages.storage.googleapis.com/cc/f8/4e/cc381c0a841bcf/US11575693-20230207-D00000.png
US-11573558-B2,Methods and systems for sensor fusion in a production line environment ,"Strong Force Iot Portfolio 2016, Llc","Charles Howard Cella, Gerald William Duffy, JR., Jeffrey P. McGuckin, Mehul Desai",2016-05-09,2019-12-06,2023-02-07,2023-02-07,https://patents.google.com/patent/US11573558B2/en,https://patentimages.storage.googleapis.com/25/e3/dd/5d7d2fd3cb193d/US11573558-20230207-D00000.png
US-9916538-B2,Method and system for feature detection ,"Z Advanced Computing, Inc.","Lotfi A. Zadeh, Saied Tadayon, Bijan Tadayon",2012-09-15,2014-03-18,2018-03-13,2018-03-13,https://patents.google.com/patent/US9916538B2/en,https://patentimages.storage.googleapis.com/3a/64/7a/01dad613babbfd/US09916538-20180313-D00000.png
US-11231705-B2,Methods for data monitoring with changeable routing of input channels ,"Strong Force Iot Portfolio 2016, Llc","Charles Howard Cella, Gerald William Duffy, JR., Jeffrey P. McGuckin, Mehul Desai",2017-08-02,2019-11-21,2022-01-25,2022-01-25,https://patents.google.com/patent/US11231705B2/en,https://patentimages.storage.googleapis.com/9c/57/86/3b9e6fa3c55f19/US11231705-20220125-D00000.png
